epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,9065.53,2.11804,1.07196,0.96773,0.8816,0.85333,0.86911,0.30806,2.24427,0.98975,0.98287,0.0088615,0.0088615,0.0088615
117,9143.79,2.14738,1.09935,0.97264,0.82581,0.80667,0.80203,0.27676,2.28704,1.03671,0.98434,0.0088516,0.0088516,0.0088516
118,9222.16,2.13614,1.07788,0.96438,0.8172,0.78667,0.77191,0.27203,2.25464,1.06615,0.97935,0.0088417,0.0088417,0.0088417
119,9300.62,2.14764,1.11494,0.97616,0.85129,0.83962,0.80037,0.28118,2.23932,1.05286,0.98259,0.0088318,0.0088318,0.0088318
120,9379.17,2.09814,1.08716,0.96179,0.79826,0.79333,0.76242,0.2573,2.29127,1.0779,0.99305,0.0088219,0.0088219,0.0088219
121,9458.03,2.13255,1.09397,0.97483,0.83136,0.81333,0.79049,0.27269,2.2402,1.03986,0.98063,0.008812,0.008812,0.008812
122,9536.54,2.12045,1.08071,0.97057,0.85416,0.84,0.81522,0.28437,2.2435,1.03724,0.98028,0.0088021,0.0088021,0.0088021
123,9615.29,2.11331,1.0368,0.96433,0.88111,0.88935,0.86527,0.29598,2.26379,0.96982,0.98409,0.0087922,0.0087922,0.0087922
124,9693.7,2.13532,1.07235,0.96314,0.88209,0.84789,0.87832,0.32313,2.20284,0.97605,0.96435,0.0087823,0.0087823,0.0087823
125,9771.64,2.13861,1.0523,0.96996,0.88065,0.86,0.83749,0.29803,2.21254,0.98409,0.96827,0.0087724,0.0087724,0.0087724
